HSMV_Report_Number,Agency_Report_Number,Reporting_Agency,Form_Type,Crash_Date,Crash_Time,City,County,Crash_Street,Intersecting_Street,Offset_Distance,Offset_Direction,Crash_Type,Vehicles,Non_Motorists,Fatalities,Injuries,Alcohol_Related,Distraction_Related,Drug_Related,Estimated_Damages,Weather_Condition,Light_Condition,Street_Number,Crash_Type_Detailed,Crash_Type_Dir,Crash_Severity,Within_City_Limits,Manner_of_Collision,First_Harmful_Event,First_HE_Location,First_HE_Relation_to_Jct,First_HE_Within_Interchange,Type_of_Intersection,Road_Sys_Identifier,Type_of_Shoulder,Road_Surf_Cond,Contrib_Circum_Road1,Contrib_Circum_Road2,Contrib_Circum_Road3,Contrib_Circum_Env1,Contrib_Circum_Env2,Contrib_Circum_Env3,School_Bus_Related,Work_Zone_Related,Type_of_Work_Zone,Loc_in_Work_Zone,Workers_in_Work_Zone,Law_Enforcement_in_Work_Zone,Mopeds,Motorcycles,Passengers,Bicyclists,Pedestrians,Fatalities_Unrestrained,Injuries_Unrestrained,Possible_Injuries,Non_Incapacitating_Injuries,Incapacitating_Injuries,Fatalities_30_Days,Non_Traffic_Fatalities,Transported_by_EMS,Transported_by_Law_Enforcement,Transported_by_Other,Citations,Property_Dmg_Amt,Vehicle_Dmg_Amt,S4_Mapping,S4_Decimal_Degree_Longitude,S4_Decimal_Degree_Latitude,S4_Albers_X,S4_Albers_Y,S4_Mapping_Date,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY_2,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"89392063",20I015282,Osceola Co SO,Short,02:12:20,12:12 PM,Unincorporated,Osceola,IRLO BRONSON MEMORIAL HWY W,CELEBRATION AVE,"0",West,Sideswipe,"2","0","0","0",N,N,N,"$2,000",Clear,Daylight,,Same Direction Sideswipe,W,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Intersection,N,Four-Way Intersection,County,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","2000","Mapped, On Network",-81.5278937344632,28.332857985777,641887.084136731,483186.348516334,3/16/2020 2:59:12 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"89392124",20I026402,Osceola Co SO,Short,03:12:20,02:27 PM,Unincorporated,Osceola,US HWY 192,CELEBRATION AVENUE,"128",East,Rear End,"2","0","0","0",N,N,N,"$1,000",Clear,Daylight,,Rear End,W,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,U.S.,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5274604910851,28.3329296592707,641929.310239246,483195.156650437,3/19/2020 3:40:16 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88278866",FHPD20OFF022781,FHP,Long,03:15:20,11:30 PM,Kissimmee,Osceola,PARKWAY BLVD,US HIGHWAY 192 (STATE ROAD 530),"0",,Other,"2","0","0","0",N,Y,N,$600,Clear,Dark - Lighted,,Other,W,Property Damage Only,N,Other,Motor Vehicle in Transport,On Roadway,Intersection,N,Four-Way Intersection,U.S.,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","2","0","600","Mapped, On Network",-81.5346427436923,28.3328826762888,641226.750115897,483175.86958872,3/23/2020 3:18:16 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88311111",FHPD20OFF021111,FHP,Short,03:10:20,01:55 PM,Kissimmee,Osceola,CELEBRATION  PL,IRLO BRONSON MEMORIAL HWY,"8",South,Rear End,"2","0","0","0",N,N,N,"$4,000",Clear,Daylight,,Rear End,N,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,County,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","4000","Mapped, On Network",-81.5345400002846,28.3326620156421,641237.291786512,483151.569600237,3/13/2020 4:20:46 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"89391999",20I015298,Osceola Co SO,Short,02:12:20,12:51 PM,Unincorporated,Osceola,CELEBRATION AVE,US 192 W,"50",North,Angle,"2","0","0","0",N,N,N,"$4,000",Clear,Daylight,,Right Angle,NE,Property Damage Only,N,Other,Motor Vehicle in Transport,On Roadway,Other,N,Four-Way Intersection,Local,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","4000","Mapped, On Network",-81.5277500040177,28.332691938248,641901.515462569,483168.19344898,3/17/2020 2:16:37 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88286072",FHPD20OFF017553,FHP,Short,02:28:20,09:49 AM,Kissimmee,Osceola,US 192 (W IRLO BRONSON MEMORIAL HWY),CELEBRATION AVENUE,"200",West,Rear End,"3","0","0","0",N,N,N,"$6,200",Clear,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,State,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","6200","Mapped, On Network",-81.5284760151629,28.3326449608913,641830.59173563,483161.553358741,4/6/2020 6:08:24 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88258798",FHPD20OFF014488,FHP,Short,02:18:20,04:45 PM,Kissimmee,Osceola,U.S HIGHWAY 192,CELEBRATION PLACE,"300",West,Rear End,"2","0","0","0",N,N,N,"$4,000",Clear,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,County,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","4000","Mapped, On Network",-81.5292870720601,28.3326334203107,641751.268752161,483158.681661747,3/16/2020 6:29:20 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88286408",FHPD20OFF013433,FHP,Short,02:15:20,11:30 AM,Kissimmee,Osceola,U.S. HIGHWAY 192,ARABIAN NIGHTS BLVD,"50",West,Rear End,"2","0","0","0",N,Y,N,"$5,300",Clear,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,U.S.,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","6","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","1300","4000","Mapped, On Network",-81.5315658867056,28.3326899775269,641528.198183716,483160.496037476,3/12/2020 1:45:11 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88313017",FHPD20OFF022332,FHP,Long,03:14:20,09:13 AM,Kissimmee,Osceola,6085 W IRLO BRONSON MEMORIAL HWY,SEAHORSE CIR,"550",West,Other,"2","0","0","0",N,N,N,$150,Clear,Daylight,,Parked Vehicle,S,Property Damage Only,N,"Sideswipe, Same Direction",Parked Motor Vehicle,In Parking Lane or Zone,Non-Junction,N,Not at Intersection,Parking Lot,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","150","Mapped, Not On Network",-81.52933514,28.3331311587229,641745.458656417,483213.853593608,4/5/2020 1:46:25 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88276983",FHPD20OFF020413,FHP,Short,03:07:20,11:05 PM,Kissimmee,Osceola,US HIGHWAY 192 (STATE ROAD 530),CELEBRATION AVE,"0",,Head On,"2","0","0","0",N,Y,N,"$1,000",Clear,Dark - Lighted,,Head On,EW,Property Damage Only,N,Front to Front,Motor Vehicle in Transport,On Roadway,Intersection,N,Four-Way Intersection,U.S.,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","1000","Mapped, On Network",-81.5280454130572,28.3327313620296,641872.526772636,483171.991391651,3/12/2020 2:20:25 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88286070",FHPD20OFF016224,FHP,Long,02:24:20,01:20 PM,Kissimmee,Osceola,CELEBRATION AVE,US 192,"50",South,Rear End,"3","0","0","4",N,N,N,"$5,750",Clear,Daylight,,Rear End,N,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,County,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","4","0","0","0","0","1","3","0","0","0",$3,$0,"0","1","0","5750","Mapped, On Network",-81.5278554568848,28.3323828245464,641891.886797289,483133.664294621,4/6/2020 4:25:11 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88310930",FHPD20OFF021079,FHP,Long,03:10:20,11:39 AM,Kissimmee,Osceola,US HIGHWAY 192 (STATE ROAD 530),BLAKE BOULEVARD,"0",,Right Turn,"2","0","0","0",N,N,N,"$2,000",Clear,Daylight,,Right/Through,N,Property Damage Only,N,Angle,Motor Vehicle in Transport,On Roadway,Intersection,Y,T-Intersection,U.S.,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","2","0","2000","Mapped, On Network",-81.5261322477214,28.3327015124883,642059.765026513,483172.431052461,4/6/2020 6:09:54 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"89392065",20I020873,Osceola Co SO,Short,02:26:20,04:58 PM,Unincorporated,Osceola,W IRLO BRONSON MEMORIAL HWY,INTERNATIONAL DR S,"766",West,Rear End,"2","0","0","0",N,N,N,"$1,000",Cloudy,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,U.S.,Curb,Wet,Road Surface Condition,None,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5233968838142,28.3327378119289,642327.294399961,483181.833884271,2/29/2020 3:00:07 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88292698",FHPD20OFF020443,FHP,Long,03:08:20,04:05 AM,Kissimmee,Osceola,US HIGHWAY 192 (IRLO BRONSON MEMORIAL HIGHWAY,INTERSTATE 4,"15",East,Unknown,"2","0","0","4",N,N,N,"$20,000",Clear,Dark - Lighted,,Unknown,,Injury,N,Angle,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,Y,Other,U.S.,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","1","4","0","0","0","0",$2,$0,"0","1","0","20000","Mapped, On Network",-81.5405868006078,28.332799724522,640645.405470097,483155.045357378,3/16/2020 1:45:42 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88308937",FHPD20OFF018293,FHP,Long,03:01:20,05:44 PM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),COUNTY ROAD 522 (OSCEOLA PARKWAY),"1320",North,Off Road,"1","0","0","1",N,Y,N,"$8,500",Clear,Dusk,,Off Road,E,Injury,N,Other,Guardrail Face,Shoulder,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","0","4000","4500","Mapped, On Network",-81.5358313315414,28.3426120447265,641088.876113201,484253.84225866,3/12/2020 12:57:30 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"89392148",20I031929,Osceola Co SO,Short,03:30:20,07:09 AM,Unincorporated,Osceola,I 4,IRLO BRONSON MEMORIAL HWY W,"0",East,Sideswipe,"2","0","0","0",N,N,N,$0,Clear,Daylight,,Same Direction Sideswipe,W,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","0","Mapped, On Network",-81.5443769306327,28.3339393965743,640272.082652536,483274.197993642,4/6/2020 5:53:03 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88241340",FHPD20OFF019755,FHP,Long,03:06:20,12:41 AM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),COUNTY ROAD 522 (OSCEOLA PARKWAY),"700",South,Rear End,"4","0","0","3",N,Y,N,"$14,225",Clear,Dark - Lighted,,Rear End,W,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Wet,None,,,None,,,N,N,,,,,"0","0","6","0","0","0","0","2","1","0","0","0",$1,$0,"0","2","0","14225","Mapped, On Network",-81.5352429148436,28.3436964093419,641144.03098526,484375.394841349,3/12/2020 1:00:38 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88302065",FHPD20OFF029921,FHP,Short,04:28:20,10:50 AM,Orlando,Orange,INTERSTATE 4 (STATE ROAD 400),STATE ROAD 536 (EPCOT CENTER DRIVE),"2640",West,Other,"1","0","0","0",N,N,N,"$1,000",Clear,Daylight,,Single Vehicle,W,Property Damage Only,N,Other,"Struck by Falling, Shifting Cargo",On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5344863008621,28.3444912223121,641216.281123938,484465.126412262,7/20/2020 1:18:09 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88263389",FHPD20OFF017700,FHP,Long,02:28:20,04:40 PM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),U.S 192,"30",North,Rear End,"2","0","0","1",N,Y,N,"$3,500",Clear,Daylight,,Rear End,W,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","1","0","3500","Mapped, On Network",-81.5452755229761,28.3329919529788,640186.265295257,483167.248197844,3/12/2020 1:05:28 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88317097",FHPD20OFF021189,FHP,Long,03:10:20,04:30 PM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400) MM65,COUNTY ROAD 522 (W OSCEOLA PARKWAY),"500",North,Rear End,"3","0","0","3",N,Y,N,"$17,400",Clear,Daylight,,Rear End,E,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","2","1","0","0","0",$1,$0,"0","4","1000","16400","Mapped, On Network",-81.5362490568359,28.3421765836318,641048.978381125,484204.674364694,3/23/2020 2:50:57 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88263378",FHPD20OFF013127,FHP,Long,02:14:20,02:57 PM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),U.S 192,"200",North,Rear End,"2","0","0","1",N,N,N,$200,Clear,Daylight,,Rear End,E,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","1","0","0","0","0",$0,$0,"0","0","0","200","Mapped, On Network",-81.5443756031102,28.3335881688333,640272.989227909,483235.202068003,3/10/2020 5:22:28 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88311693",FHPD20OFF021790,FHP,Long,03:12:20,04:45 PM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400,US-192 (STATE ROAD 530),"792",North,Rear End,"3","0","0","5",N,Y,N,"$16,200",Clear,Daylight,,Rear End,W,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","0","4","0","1","0","0",$1,$0,"0","1","0","16200","Mapped, On Network",-81.5424563440007,28.3360432267141,640455.322850415,483511.539969098,3/23/2020 3:01:43 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88241339",FHPD20OFF019732,FHP,Long,03:05:20,10:19 PM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),COUNTY ROAD 522 (OSCEOLA PARKWAY),"400",South,Off Road,"1","0","0","0",N,Y,N,"$4,500",Clear,Dark - Lighted,,Off Road,W,Property Damage Only,N,Other,Guardrail Face,Off Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","1500","3000","Mapped, On Network",-81.5347438507969,28.3442088477978,641191.713684082,484433.2692906,3/12/2020 12:58:10 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88273781",FHPD20OFF022002,FHP,Long,03:13:20,11:05 AM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),SR-536 (WORLD CENTER DRIVE),"700",West,Rear End,"2","0","0","0",N,N,N,"$2,000",Clear,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","2000","Mapped, On Network",-81.533788395805,28.3447713378987,641283.930226736,484497.594311087,3/15/2020 3:09:11 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88227852",FHPD20OFF011774,FHP,Long,02:10:20,09:40 AM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),US 192,"2640",East,Rear End,"4","0","0","1",N,Y,N,"$23,000",Clear,Daylight,,Rear End,E,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","3","0","0","0","0","0","0","1","0","0",$1,$0,"0","1","0","23000","Mapped, On Network",-81.5403412767757,28.3378682804088,640658.199028155,483718.310375366,3/10/2020 5:38:49 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88281944",FHPD20OFF014256,FHP,Long,02:18:20,03:21 AM,Unincorporated,Osceola,INTERSTATE 4 (STATE ROAD 400),US 192 IRLO BRONSON MEMORIAL HIGHWAY,"2640",North,Rear End,"2","0","0","1",N,N,N,"$15,000",Clear,Dark - Lighted,,Rear End,W,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","0","0","15000","Mapped, On Network",-81.539627576479,28.3388732257658,640725.793087431,483831.287265826,3/10/2020 5:24:46 PM,,,,,,,,1.000000000000000,3.000000000000000,,
"88273768",FHPD20OFF014967,FHP,Long,02:20:20,10:30 AM,Kissimmee,Osceola,INTERSTATE 4 (STATE ROAD 400),OSCEOLA PARKWAY,"528",West,Off Road,"1","0","0","0",N,N,N,"$11,000",Cloudy,Daylight,,Off Road,N,Property Damage Only,N,Unknown,Guardrail Face,Shoulder,Non-Junction,N,Not at Intersection,Interstate,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","10000","1000","Mapped, On Network",-81.5344521026561,28.3440736611333,641220.553617671,484418.829554832,3/10/2020 5:30:49 PM,,,,,,,,1.000000000000000,3.000000000000000,,
